what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890004812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890111471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890112542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890132400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890141166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890619738
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1576890633671
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1576890633895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576890647479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576890649048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576890651812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890653682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890666585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890667618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890926683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890927859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890985862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576890999141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576891445250
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576891535837
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1576891539398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576891544523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576891545731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576891546866
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1576891546876
