what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896770712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896949375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896950803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896950883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896950940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576896961071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1576897109547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1576897117377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576897121611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897122678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897135990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897139589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897143741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1576897155839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897156938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897171283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897174435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897175605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897176711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897186605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897199278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897201035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897201444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897201840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897202183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897202598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1576897203334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1576897205101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897207290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897270452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1576897282758
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1576897303022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897312854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897312928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1576897313004
